file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi,author_similarity,title_similarity
experiments/gene_essentiality_cancer/ai_messages/high_complexity--RBX1,[1],"Zheng N, Schulman BA, Song L, et al. 2002. Nature. Structure of the Cul1-Rbx1-Skp1-F boxSkp2 SCF ubiquitin ligase complex.",10.2210/pdb1ldd/pdb,https://doi.org/10.2210/pdb1ldd/pdb,Structure of the Cul1-Rbx1-Skp1-F boxSkp2 SCF Ubiquitin Ligase Complex,Zheng,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--RBX1,[2],"Skaar JR, Pagan JK, Pagano M. 2013. Nat Rev Mol Cell Biol. Mechanisms and function of substrate recruitment by F-box proteins.",10.1038/nrm3582,https://doi.org/10.1038/nrm3582,Mechanisms and function of substrate recruitment by F-box proteins,Skaar,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--RBX1,[3],"Nakayama KI, Nakayama K. 2006. Nat Rev Cancer. Ubiquitin ligases: cell-cycle control and cancer.",10.1038/nrc1881,https://doi.org/10.1038/nrc1881,Ubiquitin ligases: cell-cycle control and cancer,Nakayama,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--RBX1,[4],"Meyers RM, Bryan JG, McFarland JM, et al. 2017. Nature. Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.",10.3410/f.732049442.793551364,https://doi.org/10.3410/f.732049442.793551364,Faculty Opinions recommendation of Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.,Smedley,7,88
experiments/gene_essentiality_cancer/ai_messages/high_complexity--RBX1,[5],"Hart T, Chandrashekhar M, Aregger M, et al. 2015. Science. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRT25,[1],"Schweizer J, Bowden PE, Coulombe PA, et al. 2006. J Cell Biol. New consensus nomenclature for mammalian keratins.",10.1083/jcb.200603161,https://doi.org/10.1083/jcb.200603161,New consensus nomenclature for mammalian keratins,Schweizer,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRT25,[2],"Moll R, Divo M, Langbein L. 2008. Histochem Cell Biol. The human keratins: biology and pathology.",10.1007/s00418-008-0435-6,https://doi.org/10.1007/s00418-008-0435-6,The human keratins: biology and pathology,Moll,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR3A3,[1],"Buck L, Axel R. 1991. Cell. A novel multigene family may encode odorant receptors: a molecular basis for odor recognition.",10.1016/0092-8674(91)90418-x,https://doi.org/10.1016/0092-8674(91)90418-x,A novel multigene family may encode odorant receptors: A molecular basis for odor recognition,Buck,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR3A3,[2],"Flegel C, Manteniotis S, Osthold S, Hatt H, Gisselmann G. 2013. Frontiers in Oncology. Expression profile of ectopic olfactory receptors determined by deep sequencing.",10.1371/journal.pone.0055368,https://doi.org/10.1371/journal.pone.0055368,Expression Profile of Ectopic Olfactory Receptors Determined by Deep Sequencing,Flegel,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR3A3,[3],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. Science. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[1],"Persson B, Kallberg Y, Bray JE, Bruford E, Dellaporta SL, Favia AD, Duarte RG, Jörnvall H, Kavanagh KL, Kedishvili N, Kisiela M, Maser E, Mindnich R, Orchard S, Penning TM, Thornton JM, Adamski J, Oppermann U. 2009. The SDR (short-chain dehydrogenase/reductase and related enzymes) nomenclature initiative. Chem Biol Interact. 178(1-3):94-8.",10.1016/j.cbi.2008.10.040,https://doi.org/10.1016/j.cbi.2008.10.040,The SDR (short-chain dehydrogenase/reductase and related enzymes) nomenclature initiative,Persson,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[2],"Kisiela M, Faust A, Ebert B, Maser E, Scheidig AJ. 2012. Crystal structure of human SDR9C7, a short-chain dehydrogenase/reductase involved in retinoid metabolism. Chem Biol Interact. 195(2):139-47.",10.2210/pdb5ojg/pdb,https://doi.org/10.2210/pdb5ojg/pdb,Crystal structure of the dehydrogenase/reductase SDR family member 4 (DHRS4) from Caenorhabditis elegans,Scheidig,100,60
experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[3],"Bushue N, Wan YJ. 2010. Retinoid pathway and cancer therapeutics. Adv Drug Deliv Rev. 62(13):1285-98.",10.1016/j.addr.2010.07.003,https://doi.org/10.1016/j.addr.2010.07.003,Retinoid pathway and cancer therapeutics,Bushue,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[4],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell. 163(6):1515-26.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[5],"Meyers RM, Bryan JG, McFarland JM, Weir BA, Sizemore AE, Xu H, Dharia NV, Montgomery PG, Cowley GS, Pantel S, Goodale A, Lee Y, Ali LD, Jiang G, Lubonja R, Harrington WF, Strickland M, Wu T, Hawes DC, Zhivich VA, Wyatt MR, Kalani Z, Chang JJ, Okamoto M, Stegmaier K, Golub TR, Boehm JS, Vazquez F, Root DE, Hahn WC, Tsherniak A. 2017. Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells. Nat Genet. 49(12):1779-1784.",10.1038/ng.3984,https://doi.org/10.1038/ng.3984,Computational correction of copy number effect improves specificity of CRISPR–Cas9 essentiality screens in cancer cells,Meyers,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[1],"Carroll J, Fearnley IM, Skehel JM, Shannon RJ, Hirst J, Walker JE. 2006. Proc Natl Acad Sci U S A. Bovine complex I is a complex of 45 different subunits.",10.1074/jbc.m607135200,https://doi.org/10.1074/jbc.m607135200,Bovine Complex I Is a Complex of 45 Different Subunits,Carroll,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[2],Hirst J. 2013. Annu Rev Biochem. Mitochondrial complex I.,10.1146/annurev-biochem-070511-103700,https://doi.org/10.1146/annurev-biochem-070511-103700,Mitochondrial Complex I,Hirst,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[3],"Zong WX, Rabinowitz JD, White E. 2016. Nat Rev Cancer. Mitochondria and Cancer.",10.1016/j.molcel.2016.02.011,https://doi.org/10.1016/j.molcel.2016.02.011,Mitochondria and Cancer,Zong,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[4],"Vander Heiden MG, Cantley LC, Thompson CB. 2009. Science. Understanding the Warburg effect: the metabolic requirements of cell proliferation.",10.1126/science.1160809,https://doi.org/10.1126/science.1160809,Understanding the Warburg Effect: The Metabolic Requirements of Cell Proliferation,Vander Heiden,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[5],"Pavlova NN, Thompson CB. 2016. Cell Metab. The Emerging Hallmarks of Cancer Metabolism.",10.1016/j.cmet.2015.12.006,https://doi.org/10.1016/j.cmet.2015.12.006,The Emerging Hallmarks of Cancer Metabolism,Pavlova,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--NDUFB3,[6],"Zhang J, Pavlova NN, Thompson CB. 2017. Cell Metab. Cancer cell metabolism: the essential role of the nonessential amino acid, glutamine.",10.15252/embj.201696151,https://doi.org/10.15252/embj.201696151,"Cancer cell metabolism: the essential role of the nonessential amino acid, glutamine",Zhang,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMA7,[1],"Tomko RJ Jr, Hochstrasser M. 2013. Molecular Biology and Evolution. Molecular architecture and assembly of the eukaryotic proteasome.",10.1146/annurev-biochem-060410-150257,https://doi.org/10.1146/annurev-biochem-060410-150257,Molecular Architecture and Assembly of the Eukaryotic Proteasome,Tomko,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMA7,[2],"Ciechanover A, Kwon YT. 2015. Nature Reviews Molecular Cell Biology. Protein quality control by molecular chaperones in neurodegeneration.",10.3389/fnins.2017.00185,https://doi.org/10.3389/fnins.2017.00185,Protein Quality Control by Molecular Chaperones in Neurodegeneration,Ciechanover,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMA7,[3],Adams J. 2004. Nature Reviews Cancer. The proteasome: a suitable antineoplastic target.,10.1038/nrc1361,https://doi.org/10.1038/nrc1361,The proteasome: a suitable antineoplastic target,Adams,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMA7,[4],"Walter P, Ron D. 2011. Nature Reviews Molecular Cell Biology. The unfolded protein response: from stress pathway to homeostatic regulation.",10.1126/science.1209038,https://doi.org/10.1126/science.1209038,The Unfolded Protein Response: From Stress Pathway to Homeostatic Regulation,Walter,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--PSMA7,[5],"Tabas I, Ron D. 2011. Nature Cell Biology. Integrating the mechanisms of apoptosis induced by endoplasmic reticulum stress.",10.1038/ncb0311-184,https://doi.org/10.1038/ncb0311-184,Integrating the mechanisms of apoptosis induced by endoplasmic reticulum stress,Tabas,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[1],"Alexander C. Zambon, 2021, Frontiers in Cell and Developmental Biology, The Multifaceted Roles of OPA1 in Cancer",10.3389/fcell.2021.630161,https://doi.org/10.3389/fcell.2021.630161,The Multifaceted Roles of Primary Cilia in the Development of the Cerebral Cortex,Hasenpusch-Theil,17,64
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[2],"Del Dotto V, Mishra P, Vidoni S, et al., 2017, Oncotarget, OPA1 Isoforms in the Hierarchical Organization of Mitochondrial Functions",10.1016/j.celrep.2017.05.073,https://doi.org/10.1016/j.celrep.2017.05.073,OPA1 Isoforms in the Hierarchical Organization of Mitochondrial Functions,Del Dotto,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[3],"Lenaers G, Hamel C, Delettre C, et al., 2012, Human Molecular Genetics, Dominant Optic Atrophy",10.1006/mgme.2001.3278,https://doi.org/10.1006/mgme.2001.3278,OPA1 (Kjer Type) Dominant Optic Atrophy: A Novel Mitochondrial Disease,Delettre,100,55
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[4],"Vyas S, Zaganjor E, Haigis MC, 2016, Cell, Mitochondria and Cancer",10.1016/j.cell.2016.07.002,https://doi.org/10.1016/j.cell.2016.07.002,Mitochondria and Cancer,Vyas,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[5],"Zhang H, Zhang Y, Zhu X, et al., 2019, Journal of Cancer, OPA1 Overexpression is Associated with Poor Prognosis in Patients with Colorectal Cancer",10.3892/ol.2017.7049,https://doi.org/10.3892/ol.2017.7049,Overexpression of long non‑coding RNA colon cancer‑associated transcript 2 is associated with advanced tumor progression and poor prognosis in patients with colorectal cancer,Zhang,100,80
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OPA1,[6],"Zhao X, Tian C, Puszyk WM, et al., 2013, Cancer Research, OPA1 Downregulation is Involved in Sorafenib-induced Apoptosis in Hepatocellular Carcinoma",10.1038/labinvest.2012.144,https://doi.org/10.1038/labinvest.2012.144,OPA1 downregulation is involved in sorafenib-induced apoptosis in hepatocellular carcinoma,Zhao,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR5T2,[1],"Buck L, Axel R. 1991. Cell. A novel multigene family may encode odorant receptors: a molecular basis for odor recognition.",10.1016/0092-8674(91)90418-x,https://doi.org/10.1016/0092-8674(91)90418-x,A novel multigene family may encode odorant receptors: A molecular basis for odor recognition,Buck,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR5T2,[2],"Flegel C, Manteniotis S, Osthold S, Hatt H, Gisselmann G. 2013. Frontiers in Physiology. Expression profile of ectopic olfactory receptors determined by deep sequencing.",10.1371/journal.pone.0055368,https://doi.org/10.1371/journal.pone.0055368,Expression Profile of Ectopic Olfactory Receptors Determined by Deep Sequencing,Flegel,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--OR5T2,[3],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. Science. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[1],"Uehara R, et al. 2009. Nature. Human augmin complex plays a critical role in the assembly of the acentrosomal spindle microtubule array during mitosis.",10.1073/pnas.0901587106,https://doi.org/10.1073/pnas.0901587106,The augmin complex plays a critical role in spindle microtubule generation for mitotic progression and cytokinesis in human cells,Uehara,100,71
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[2],"Goshima G, et al. 2008. Science. Augmin: a protein complex required for centrosome-independent microtubule generation within the spindle.",10.1083/jcb.200711053,https://doi.org/10.1083/jcb.200711053,Augmin: a protein complex required for centrosome-independent microtubule generation within the spindle,Goshima,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[3],"Hanahan D, Weinberg RA. 2011. Cell. Hallmarks of cancer: the next generation.",10.1016/j.cell.2011.02.013,https://doi.org/10.1016/j.cell.2011.02.013,Hallmarks of Cancer: The Next Generation,Hanahan,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[4],Kaelin WG Jr. 2005. N Engl J Med. The concept of synthetic lethality in the context of anticancer therapy.,10.1038/nrc1691,https://doi.org/10.1038/nrc1691,The Concept of Synthetic Lethality in the Context of Anticancer Therapy,Kaelin,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[5],"Hart T, et al. 2015. Science. High-resolution CRISPR screens reveal fitness genes and genotype-specific cancer liabilities.",10.3410/f.725961145.793520856,https://doi.org/10.3410/f.725961145.793520856,Faculty Opinions recommendation of High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.,Kumar,5,88
experiments/gene_essentiality_cancer/ai_messages/high_complexity--HAUS4,[6],"Shalem O, et al. 2014. Science. Genome-scale CRISPR-Cas9 knockout screening in human cells.",10.3410/f.718206642.793489428,https://doi.org/10.3410/f.718206642.793489428,Faculty Opinions recommendation of Genome-scale CRISPR-Cas9 knockout screening in human cells.,Beck,7,81
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[1],"Marenholz I, Heizmann CW, Fritz G. 2004. Biochem Biophys Res Commun. S100 proteins in mouse and man: from evolution to function and pathology (including an update of the nomenclature).",10.1016/j.bbrc.2004.07.096,https://doi.org/10.1016/j.bbrc.2004.07.096,S100 proteins in mouse and man: from evolution to function and pathology (including an update of the nomenclature),Marenholz,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[2],"Enerbäck C, Porter DA, Seth P, Sgroi D, Gaudet J, Weremowicz S, Morton CC, Schnitt S, Pitts RL, Stampl J, Barnhart K, Polyak K. 2002. Cancer Res. Psoriasin expression in mammary epithelial cells in vitro and in vivo.",10.1371/journal.pone.0053119,https://doi.org/10.1371/journal.pone.0053119,The Expression of Psoriasin (S100A7) and CD24 Is Linked and Related to the Differentiation of Mammary Epithelial Cells,Vegfors,5,64
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[3],"Zhao F, Hoechst B, Duffy A, Gamrekelashvili J, Fioravanti S, Manns MP, Greten TF, Korangy F. 2012. Int J Cancer. S100A9 a new marker for monocytic human myeloid-derived suppressor cells.",10.1111/j.1365-2567.2012.03566.x,https://doi.org/10.1111/j.1365-2567.2012.03566.x,S100A9 a new marker for monocytic human myeloid‐derived suppressor cells,Zhao,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[4],"Alowami S, Qing G, Emberley E, Snell L, Watson PH. 2003. Mod Pathol. Psoriasin (S100A7) expression is altered during skin tumorigenesis.",10.1186/1471-5945-3-1,https://doi.org/10.1186/1471-5945-3-1,Psoriasin (S100A7) expression is altered during skin tumorigenesis,Alowami,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[5],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. Cell. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--S100A7A,[6],"Blomen VA, Májek P, Jae LT, Bigenzahn JW, Nieuwenhuis J, Staring J, Sacco R, van Diemen FR, Olk N, Stukalov A, Marceau C, Janssen H, Carette JE, Bennett KL, Colinge J, Superti-Furga G, Brummelkamp TR. 2015. Science. Gene essentiality and synthetic lethality in haploid human cells.",10.1126/science.aac7557,https://doi.org/10.1126/science.aac7557,Gene essentiality and synthetic lethality in haploid human cells,Blomen,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--TMPRSS11F,[1],"Szabo R, Bugge TH. (2011) Membrane-anchored serine proteases in vertebrate cell and developmental biology. Annu Rev Cell Dev Biol. 27:213-35.",10.1146/annurev-cellbio-092910-154247,https://doi.org/10.1146/annurev-cellbio-092910-154247,Membrane-Anchored Serine Proteases in Vertebrate Cell and Developmental Biology,Szabo,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--TMPRSS11F,[2],"Antalis TM, Bugge TH, Wu Q. (2011) Membrane-anchored serine proteases in health and disease. Prog Mol Biol Transl Sci. 99:1-50.",10.1016/b978-0-12-385504-6.00001-4,https://doi.org/10.1016/b978-0-12-385504-6.00001-4,Membrane-Anchored Serine Proteases in Health and Disease,Antalis,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--TMPRSS11F,[3],"Hart T, Moffat J. (2016) BAGEL: a computational framework for identifying essential genes from pooled library screens. BMC Bioinformatics. 17:164.",10.1186/s12859-016-1015-8,https://doi.org/10.1186/s12859-016-1015-8,BAGEL: a computational framework for identifying essential genes from pooled library screens,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--TMPRSS11F,[4],"Blomen VA, Májek P, Jae LT, Bigenzahn JW, Nieuwenhuis J, Staring J, Sacco R, van Diemen FR, Olk N, Stukalov A, Marceau C, Janssen H, Carette JE, Bennett KL, Colinge J, Superti-Furga G, Brummelkamp TR. (2015) Gene essentiality and synthetic lethality in haploid human cells. Science. 350:1092-6.",10.1126/science.aac7557,https://doi.org/10.1126/science.aac7557,Gene essentiality and synthetic lethality in haploid human cells,Blomen,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GTF3C1,[1],"Lefebvre O, et al. 1992. Cell. Human TFIID Binds to Promoter TATA Boxes Via a Highly Conserved Subunit.",10.1111/j.1742-4658.2006.05468.x,https://doi.org/10.1111/j.1742-4658.2006.05468.x,FOXM1c transactivates the human c‐<i>myc</i> promoter directly via the two TATA boxes P1 and P2,Wierstra,11,58
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GTF3C1,[2],"Hsieh YJ, et al. 1999. Genes Dev. Structure and function of the BTB domain in the Drosophila GAGA factor.",10.1007/s004270050202,https://doi.org/10.1007/s004270050202,Comparison of the GAGA factor genes of Drosophila melanogaster and Drosophila virilis reveals high conservation of GAGA factor structure beyond the BTB/POZ and DNA-binding domains,Lintermann,15,71
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GTF3C1,[3],"DeBerardinis RJ, et al. 2008. Cell Metab. The biology of cancer: metabolic reprogramming fuels cell growth and proliferation.",10.1016/j.cmet.2007.10.002,https://doi.org/10.1016/j.cmet.2007.10.002,The Biology of Cancer: Metabolic Reprogramming Fuels Cell Growth and Proliferation,DeBerardinis,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GTF3C1,[4],"Pavon-Eternod M, et al. 2013. Oncogene. tRNA over-expression in breast cancer and functional consequences.",10.1093/nar/gkp787,https://doi.org/10.1093/nar/gkp787,tRNA over-expression in breast cancer and functional consequences,Pavon-Eternod,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GPR78,[1],"Fredriksson R, Lagerström MC, Lundin LG, Schiöth HB. 2003. The G-protein-coupled receptors in the human genome form five main families. Phylogenetic analysis, paralogon groups, and fingerprints. Molecular Pharmacology 63(6):1256-1272.",10.1124/mol.63.6.1256,https://doi.org/10.1124/mol.63.6.1256,"The G-Protein-Coupled Receptors in the Human Genome Form Five Main Families. Phylogenetic Analysis, Paralogon Groups, and Fingerprints",Fredriksson,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--GPR78,[2],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell 163(6):1515-1526.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--AQP8,[1],"Agre P, Kozono D. 2003. Nature Reviews Molecular Cell Biology. Aquaporin water channels: molecular mechanisms for human diseases.",10.1016/s0014-5793(03)01083-4,https://doi.org/10.1016/s0014-5793(03)01083-4,Aquaporin water channels: molecular mechanisms for human diseases<sup>1</sup>,Agre,100,96
experiments/gene_essentiality_cancer/ai_messages/high_complexity--AQP8,[2],"Ishibashi K, Hara S, Kondo S. 2009. Pflugers Archiv: European Journal of Physiology. Aquaporin water channels in mammals.",10.1007/s10157-008-0118-6,https://doi.org/10.1007/s10157-008-0118-6,Aquaporin water channels in mammals,Ishibashi,100,100
experiments/gene_essentiality_cancer/ai_messages/high_complexity--AQP8,[3],"Papadopoulos MC, Saadoun S. 2015. British Journal of Cancer. Key roles of aquaporins in tumor biology.",10.1016/j.bbamem.2014.09.001,https://doi.org/10.1016/j.bbamem.2014.09.001,Key roles of aquaporins in tumor biology,Papadopoulos,100,100
