Unnamed: 0,file,ref_number,ref_text,doi,doi_url,titleDoi,firstAuthDoi
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--MRGPRX2,[1],"Tatemoto K, Nozaki Y, Tsuda R, et al. 2006. Proc Natl Acad Sci U S A. Peptide histidine isoleucine and tryptase stimulate the release of histamine from human skin mast cells through activation of Mas-related gene X2.",10.3410/f.718012742.793480350,https://doi.org/10.3410/f.718012742.793480350,Faculty Opinions recommendation of β-Defensins activate human mast cells via Mas-related gene X2.,Stevens
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--MRGPRX2,[2],"Lembo PM, Grazzini E, Groblewski T, et al. 2002. Proc Natl Acad Sci U S A. Proenkephalin A gene products activate a new family of sensory neuron--specific GPCRs.",10.1038/nn815,https://doi.org/10.1038/nn815,Proenkephalin A gene products activate a new family of sensory neuron–specific GPCRs,Lembo
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRTAP9-3,[1],"Shimomura Y, Wajid M, Petukhova L, Kurban M, Christiano AM. 2010. Human Molecular Genetics. Mutations in the keratin-associated protein 9-3 (KRTAP9-3) gene underlie autosomal dominant woolly hair.",10.1016/j.ajhg.2010.02.025,https://doi.org/10.1016/j.ajhg.2010.02.025,"Autosomal-Dominant Woolly Hair Resulting from Disruption of Keratin 74 (KRT74), a Potential Determinant of Human Hair Texture",Shimomura
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--KRTAP9-3,[2],"Rogers MA, Langbein L, Praetzel-Wunder S, Winter H, Schweizer J. 2006. Journal of Investigative Dermatology. Human hair keratin-associated proteins (KAPs).",10.1016/s0074-7696(06)51006-x,https://doi.org/10.1016/s0074-7696(06)51006-x,Human Hair Keratin‐Associated Proteins (KAPs),Rogers
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IFNA10,[1],"Pestka S, Krause CD, Walter MR. 2004. Cytokine Growth Factor Rev. Interferons, interferon-like cytokines, and their receptors.",10.1111/j.0105-2896.2004.00204.x,https://doi.org/10.1111/j.0105-2896.2004.00204.x,"Interferons, interferon‐like cytokines, and their receptors",Pestka
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IFNA10,[2],"Borden EC, Sen GC, Uze G, Silverman RH, Ransohoff RM, Foster GR, Stark GR. 2007. J Biol Chem. Interferons at age 50: past, current and future impact on biomedicine.",10.1038/nrd2422,https://doi.org/10.1038/nrd2422,"Interferons at age 50: past, current and future impact on biomedicine",Borden
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IFNA10,[3],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. Science. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart
3,experiments/gene_essentiality_cancer/ai_messages/high_complexity--IFNA10,[4],"Meyers RM, Bryan JG, McFarland JM, Weir BA, Sizemore AE, Xu H, Dharia NV, Montgomery PG, Cowley GS, Pantel S, Goodale A, Lee Y, Ali LD, Jiang G, Lubonja R, Harrington WF, Strickland M, Wu T, Hawes DC, Zhivich VA, Wyatt MR, Kalani Z, Chang JJ, Okamoto M, Stegmaier K, Golub TR, Boehm JS, Vazquez F, Root DE, Hahn WC, Tsherniak A. 2017. Cell. Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.",10.1038/ng.3984,https://doi.org/10.1038/ng.3984,Computational correction of copy number effect improves specificity of CRISPR–Cas9 essentiality screens in cancer cells,Meyers
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[1],"Hechtman JF, Polydorides AD. 2012. Histopathological features of colorectal carcinomas. Gastroenterol Clin North Am. 41(3): 629-49.",10.3410/f.717973188.793470321,https://doi.org/10.3410/f.717973188.793470321,Faculty Opinions recommendation of Colorectal carcinomas with KRAS mutation are associated with distinctive morphological and molecular features.,Harpaz
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[2],National Comprehensive Cancer Network. 2021. Rectal Cancer (Version 6.2021).,10.6004/jnccn.2007.0081,https://doi.org/10.6004/jnccn.2007.0081,Rectal Cancer,_
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[3],"Topalian SL, Taube JM, Anders RA, Pardoll DM. 2016. Mechanism-driven biomarkers to guide immune checkpoint blockade in cancer therapy. Nat Rev Cancer. 16(5): 275-87.",10.1038/nrc.2016.36,https://doi.org/10.1038/nrc.2016.36,Mechanism-driven biomarkers to guide immune checkpoint blockade in cancer therapy,Topalian
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[4],"Ribas A, Wolchok JD. 2018. Cancer immunotherapy using checkpoint blockade. Science. 359(6382): 1350-5.",10.1126/science.aar4060,https://doi.org/10.1126/science.aar4060,Cancer immunotherapy using checkpoint blockade,Ribas
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[5],"Quail DF, Joyce JA. 2013. Microenvironmental regulation of tumor progression and metastasis. Nat Med. 19(11): 1423-37.",10.1038/nm.3394,https://doi.org/10.1038/nm.3394,Microenvironmental regulation of tumor progression and metastasis,Quail
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_1,[6],"Balkwill FR, Capasso M, Hagemann T. 2012. The tumor microenvironment at a glance. J Cell Sci. 125(Pt 23): 5591-6.",10.1242/jcs.116392,https://doi.org/10.1242/jcs.116392,The tumor microenvironment at a glance,Balkwill
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[1],"Siegel RL, Miller KD, Jemal A. 2020. CA Cancer J Clin. Colorectal cancer statistics, 2020.",10.3322/caac.21590,https://doi.org/10.3322/caac.21590,"Cancer statistics, 2020",Siegel
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[2],Compton CC. 2006. Arch Pathol Lab Med. Optimal pathologic staging: defining stage II disease.,10.1158/1078-0432.ccr-07-1398,https://doi.org/10.1158/1078-0432.ccr-07-1398,Optimal Pathologic Staging: Defining Stage II Disease,Compton
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[3],"Jayne DG, Fook S, Loi C, Seow-Choen F. 2002. Br J Surg. Peritoneal carcinomatosis from colorectal cancer.",10.1046/j.1365-2168.2002.02274.x,https://doi.org/10.1046/j.1365-2168.2002.02274.x,Peritoneal carcinomatosis from colorectal cancer,Jayne
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[4],"Glynne-Jones R, Wyrwicz L, Tiret E, et al. 2017. Ann Oncol. Rectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up.",10.1093/annonc/mdx224,https://doi.org/10.1093/annonc/mdx224,"Rectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up",Glynne-Jones
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[5],"Holohan C, Van Schaeybroeck S, Longley DB, Johnston PG. 2013. Nat Rev Cancer. Cancer drug resistance: an evolving paradigm.",10.1038/nrc3599,https://doi.org/10.1038/nrc3599,Cancer drug resistance: an evolving paradigm,Holohan
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[6],"Van Cutsem E, Cervantes A, Nordlinger B, Arnold D. 2014. Ann Oncol. Metastatic colorectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up.",10.1093/annonc/mdu260,https://doi.org/10.1093/annonc/mdu260,"Metastatic colorectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up",Van Cutsem
6,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_20,[7],"Manfredi S, Lepage C, Hatem C, Coatmeur O, Faivre J, Bouvier AM. 2006. Ann Oncol. Epidemiology and management of liver metastases from colorectal cancer.",10.1097/01.sla.0000217629.94941.cf,https://doi.org/10.1097/01.sla.0000217629.94941.cf,Epidemiology and Management of Liver Metastases From Colorectal Cancer,Manfredi
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[1],"Persson B, Kallberg Y, Bray JE, Bruford E, Dellaporta SL, Favia AD, Duarte RG, Jörnvall H, Kavanagh KL, Kedishvili N, Kisiela M, Maser E, Mindnich R, Orchard S, Penning TM, Thornton JM, Adamski J, Oppermann U. 2009. The SDR (short-chain dehydrogenase/reductase and related enzymes) nomenclature initiative. Chem Biol Interact. 178(1-3):94-8.",10.1016/j.cbi.2008.10.040,https://doi.org/10.1016/j.cbi.2008.10.040,The SDR (short-chain dehydrogenase/reductase and related enzymes) nomenclature initiative,Persson
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[2],"Kisiela M, Faust A, Ebert B, Maser E, Scheidig AJ. 2012. Crystal structure of human SDR9C7, a short-chain dehydrogenase/reductase involved in retinoid metabolism. Chem Biol Interact. 195(2):139-47.",10.2210/pdb5ojg/pdb,https://doi.org/10.2210/pdb5ojg/pdb,Crystal structure of the dehydrogenase/reductase SDR family member 4 (DHRS4) from Caenorhabditis elegans,Scheidig
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[3],"Bushue N, Wan YJ. 2010. Retinoid pathway and cancer therapeutics. Adv Drug Deliv Rev. 62(13):1285-98.",10.1016/j.addr.2010.07.003,https://doi.org/10.1016/j.addr.2010.07.003,Retinoid pathway and cancer therapeutics,Bushue
3,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[4],"Hart T, Chandrashekhar M, Aregger M, Steinhart Z, Brown KR, MacLeod G, Mis M, Zimmermann M, Fradet-Turcotte A, Sun S, Mero P, Dirks P, Sidhu S, Roth FP, Rissland OS, Durocher D, Angers S, Moffat J. 2015. High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell. 163(6):1515-26.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart
4,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SDR9C7,[5],"Meyers RM, Bryan JG, McFarland JM, Weir BA, Sizemore AE, Xu H, Dharia NV, Montgomery PG, Cowley GS, Pantel S, Goodale A, Lee Y, Ali LD, Jiang G, Lubonja R, Harrington WF, Strickland M, Wu T, Hawes DC, Zhivich VA, Wyatt MR, Kalani Z, Chang JJ, Okamoto M, Stegmaier K, Golub TR, Boehm JS, Vazquez F, Root DE, Hahn WC, Tsherniak A. 2017. Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells. Nat Genet. 49(12):1779-1784.",10.1038/ng.3984,https://doi.org/10.1038/ng.3984,Computational correction of copy number effect improves specificity of CRISPR–Cas9 essentiality screens in cancer cells,Meyers
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SS18L2,[1],"Aizawa, H., Hu, S. C., Bobb, K., Balakrishnan, K., Ince, G., Gurevich, I., ... & Snyder, S. H. (2004). The Journal of Neuroscience, 24(43), 9658-9669. Dendrite development regulated by CREST, a calcium-regulated transcriptional activator.",10.1126/science.1089845,https://doi.org/10.1126/science.1089845,"Dendrite Development Regulated by CREST, a Calcium-Regulated Transcriptional Activator",Aizawa
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SS18L2,[2],"Qiu, Z., & Ghosh, A. (2008). Neuron, 60(1), 101-112. A calcium-dependent switch in a CREST-BRG1 complex regulates activity-dependent gene expression.",10.1016/j.neuron.2008.09.040,https://doi.org/10.1016/j.neuron.2008.09.040,A Calcium-Dependent Switch in a CREST-BRG1 Complex Regulates Activity-Dependent Gene Expression,Qiu
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SS18L2,[3],"Hart, T., Chandrashekhar, M., Aregger, M., Steinhart, Z., Brown, K. R., MacLeod, G., ... & Moffat, J. (2015). Cell, 162(4), 675-687. High-resolution CRISPR screens reveal fitness genes and genotype-specific cancer liabilities.",10.1016/j.cell.2015.11.015,https://doi.org/10.1016/j.cell.2015.11.015,High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities,Hart
3,experiments/gene_essentiality_cancer/ai_messages/high_complexity--SS18L2,[4],"Wang, T., Birsoy, K., Hughes, N. W., Krupczak, K. M., Post, Y., Wei, J. J., ... & Sabatini, D. M. (2015). Science, 350(6264), 1096-1101. Identification and characterization of essential genes in the human genome.",10.1126/science.aac7041,https://doi.org/10.1126/science.aac7041,Identification and characterization of essential genes in the human genome,Wang
0,experiments/gene_essentiality_cancer/ai_messages/high_complexity--ZP2,[1],"Lefièvre L, Conner SJ, Salpekar A, et al. 2004. Human Reproduction. Four zona pellucida glycoproteins are expressed in the human.",10.1093/humrep/deh301,https://doi.org/10.1093/humrep/deh301,Four zona pellucida glycoproteins are expressed in the human,Lefievre
1,experiments/gene_essentiality_cancer/ai_messages/high_complexity--ZP2,[2],"Rankin TL, Coleman JS, Epifano O, et al. 2003. Developmental Biology. Fertility and taxon-specific sperm binding persist after replacement of mouse sperm receptors with human homologs.",10.1016/s1534-5807(03)00195-3,https://doi.org/10.1016/s1534-5807(03)00195-3,Fertility and Taxon-Specific Sperm Binding Persist after Replacement of Mouse Sperm Receptors with Human Homologs,Rankin
2,experiments/gene_essentiality_cancer/ai_messages/high_complexity--ZP2,[3],"Domcke S, Sinha R, Levine DA, et al. 2013. Nature Communications. Evaluating cell lines as tumour models by comparison of genomic profiles.",10.1038/ncomms3126,https://doi.org/10.1038/ncomms3126,Evaluating cell lines as tumour models by comparison of genomic profiles,Domcke
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[1],"Fearon ER, Vogelstein B. 1990. Cell. A genetic model for colorectal tumorigenesis.",10.1016/0092-8674(90)90186-i,https://doi.org/10.1016/0092-8674(90)90186-i,A genetic model for colorectal tumorigenesis,Fearon
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[2],"Punt CJ, Koopman M, Vermeulen L. 2017. Nat Rev Clin Oncol. From tumour heterogeneity to advances in precision treatment of colorectal cancer.",10.1038/nrclinonc.2016.171,https://doi.org/10.1038/nrclinonc.2016.171,From tumour heterogeneity to advances in precision treatment of colorectal cancer,Punt
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[3],"Holohan C, Van Schaeybroeck S, Longley DB, Johnston PG. 2013. Nat Rev Cancer. Cancer drug resistance: an evolving paradigm.",10.1038/nrc3599,https://doi.org/10.1038/nrc3599,Cancer drug resistance: an evolving paradigm,Holohan
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[4],"Quail DF, Joyce JA. 2013. Nat Med. Microenvironmental regulation of tumor progression and metastasis.",10.1038/nm.3394,https://doi.org/10.1038/nm.3394,Microenvironmental regulation of tumor progression and metastasis,Quail
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[5],"Benson AB, Venook AP, Al-Hawary MM, et al. 2018. J Natl Compr Canc Netw. NCCN Guidelines Insights: Colon Cancer, Version 2.2018.",10.6004/jnccn.2019.0102,https://doi.org/10.6004/jnccn.2019.0102,"Erratum to: NCCN Guidelines Insights: Small Cell Lung Cancer, Version 2.2018: J Natl Compr Canc Netw 2018;16(10):1171–1182.",
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_0,[6],"Compton CC, Fielding LP, Burgart LJ, et al. 2000. Cancer. Prognostic factors in colorectal cancer. College of American Pathologists Consensus Statement 1999.",10.1002/(sici)1097-0142(20000401)88:7<1739::aid-cncr30>3.0.co;2-t,https://doi.org/10.1002/(sici)1097-0142(20000401)88:7<1739::aid-cncr30>3.0.co;2-t,American Joint Committee on Cancer prognostic factors consensus conference,Compton
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[1],"Siegel RL, Miller KD, Jemal A. 2020. CA Cancer J Clin. Colorectal cancer statistics, 2020.",10.3322/caac.21590,https://doi.org/10.3322/caac.21590,"Cancer statistics, 2020",Siegel
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[2],Compton CC. 2007. Arch Pathol Lab Med. Optimal pathologic staging: defining stage II disease.,10.1158/1078-0432.ccr-07-1398,https://doi.org/10.1158/1078-0432.ccr-07-1398,Optimal Pathologic Staging: Defining Stage II Disease,Compton
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[3],National Comprehensive Cancer Network. 2021. NCCN Clinical Practice Guidelines in Oncology: Rectal Cancer.,10.6004/jnccn.2007.0025,https://doi.org/10.6004/jnccn.2007.0025,NCCN Invasive Breast Cancer Clinical Practice Guidelines in Oncology,_
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[4],"Chabner BA, Roberts TG Jr. 2005. N Engl J Med. Chemotherapy and the war on cancer.",10.1038/nrc1529,https://doi.org/10.1038/nrc1529,Chemotherapy and the war on cancer,Chabner
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[5],"Baskar R, Lee KA, Yeo R, Yeoh KW. 2012. J Med Radiat Sci. Cancer and radiation therapy: current advances and future directions.",10.7150/ijms.3635,https://doi.org/10.7150/ijms.3635,Cancer and Radiation Therapy: Current Advances and Future Directions,Baskar
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[6],"Glynne-Jones R, Wyrwicz L, Tiret E, et al. 2017. Ann Oncol. Rectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up.",10.1093/annonc/mdx224,https://doi.org/10.1093/annonc/mdx224,"Rectal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up",Glynne-Jones
6,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[7],Gray H. 1918. Anatomy of the Human Body. The Large Intestine.,10.5962/bhl.title.20311,https://doi.org/10.5962/bhl.title.20311,Anatomy of the human body,Gray
7,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_19,[8],"American Joint Committee on Cancer. 2017. AJCC Cancer Staging Manual, 8th Edition.",10.1007/978-0-387-88441-7,https://doi.org/10.1007/978-0-387-88441-7,AJCC Cancer Staging Manual,"{'name': 'American Joint Committee on Cancer', 'sequence': 'first', 'affiliation': []}"
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[1],"Clevers H, Nusse R. 2012. Cell. Wnt/β-Catenin Signaling and Disease.",10.1016/j.cell.2012.05.012,https://doi.org/10.1016/j.cell.2012.05.012,Wnt/β-Catenin Signaling and Disease,Clevers
1,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[2],Fearon ER. 2011. Nature Reviews Cancer. Molecular genetics of colorectal cancer.,10.1146/annurev-pathol-011110-130235,https://doi.org/10.1146/annurev-pathol-011110-130235,Molecular Genetics of Colorectal Cancer,Fearon
2,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[3],Compton CC. 2007. Archives of Pathology & Laboratory Medicine. Updated Protocol for the Examination of Specimens From Patients With Carcinomas of the Colon and Rectum.,10.5858/2000-124-1016-upfteo,https://doi.org/10.5858/2000-124-1016-upfteo,"Updated Protocol for the Examination of Specimens From Patients With Carcinomas of the Colon and Rectum, Excluding Carcinoid Tumors, Lymphomas, Sarcomas, and Tumors of the Vermiform Appendix",Compton
3,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[4],"Holohan C, Van Schaeybroeck S, Longley DB, Johnston PG. 2013. Nature Reviews Cancer. Cancer drug resistance: an evolving paradigm.",10.1038/nrc3599,https://doi.org/10.1038/nrc3599,Cancer drug resistance: an evolving paradigm,Holohan
4,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[5],"Le DT, Uram JN, Wang H, et al. 2015. New England Journal of Medicine. PD-1 Blockade in Tumors with Mismatch-Repair Deficiency.",10.1056/nejmc1510353,https://doi.org/10.1056/nejmc1510353,PD-1 Blockade in Tumors with Mismatch-Repair Deficiency,
5,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[6],Folkman J. 2007. Nature Reviews Drug Discovery. Angiogenesis: an organizing principle for drug discovery?,10.1038/nrd2115,https://doi.org/10.1038/nrd2115,Angiogenesis: an organizing principle for drug discovery?,Folkman
6,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_5,[7],"Quail DF, Joyce JA. 2013. Nature Medicine. Microenvironmental regulation of tumor progression and metastasis.",10.1038/nm.3394,https://doi.org/10.1038/nm.3394,Microenvironmental regulation of tumor progression and metastasis,Quail
0,experiments/crc/ai_messages/high_complexity--crc_apc_impact_2020_18,[1],National Comprehensive Cancer Network. (2021). NCCN Clinical Practice Guidelines in Oncology: Colon Cancer. Version 2.2021.,10.1111/j.1759-7714.2010.00016.x,https://doi.org/10.1111/j.1759-7714.2010.00016.x,"Comparisons between the National Comprehensive Cancer Network (NCCN) non-small-cell lung cancer (NSCLC) Clinical Practice Guidelines (Chinese version), the NCCN original edition, and the European Society for Medical Oncology NSCLC Guidelines in 2009",Xu
